Crop,Disease,Description,Symptoms,Prevention,Cure
Apple,Powdery Mildew,Fungal infection,White powdery growth on leaves,Resistant varieties,Apply sulfur spray
Apple,Bitter Rot,Fungal disease,Brown sunken lesions on fruits,Sanitation,Fungicide application
Apple,Leaf Spot,Fungal disease,Small brown spots on leaves,Prune infected parts,Fungicide spray
Apple,Apple Mosaic Virus,Viral infection,Light green/yellow patterns on leaves,Resistant varieties,Remove infected plants
Cotton,Bacterial Blight,Bacterial disease,Water-soaked lesions on leaves,Resistant varieties,Apply copper-based bactericides
Cotton,Fusarium Wilt,Fungal infection,Yellowing and wilting of leaves,Use resistant varieties,Soil treatment with fungicide
Cotton,Verticillium Wilt,Fungal disease,Leaf yellowing and stunting,Crop rotation,Fungicide application
Cotton,Root Rot,Fungal infection,Root decay,Well-drained soil,Fungicide treatment
Cotton,Leaf Curl Virus,Viral disease,Leaf curling and stunting,Use resistant varieties,Remove infected plants
Cotton,Anthracnose,Fungal disease,Dark lesions on leaves and bolls,Crop rotation,Fungicide spray
Cotton,Leaf Spot,Fungal infection,Small brown spots on leaves,Resistant varieties,Fungicide application
Cotton,Cotton Boll Rot,Fungal infection,Rotting of bolls,Prune infected bolls,Fungicide spray
Cotton,Root Knot Nematode,Nematode infection,Root galls,Crop rotation,Nematode treatment
Banana,Panama Wilt,Fungal disease,Foliage yellowing and wilting,Use resistant cultivars,Soil treatment with fungicide
Banana,Bacterial Wilt,Bacterial disease,Wilting and oozing from pseudostem,Clean tools,Remove infected plants
Banana,Black Sigatoka,Fungal infection,Black streaks on leaves,Resistant varieties,Fungicide application
Banana,Cigar End Rot,Fungal disease,Brown-black lesions on fruit tip,Good ventilation,Fungicide spray
Banana,Fusarium Wilt,Fungal infection,Leaf yellowing and stunting,Resistant cultivars,Soil treatment with fungicide
Banana,Moko Disease,Bacterial infection,Wilting and stem discoloration,Use certified planting material,Remove infected plants
Banana,Nematode Infestation,Parasitic worms,Root damage and stunted growth,Crop rotation,Nematode treatment
Banana,Banana Bunchy Top Virus,Viral infection,Stunted growth and bunched leaves,Resistant cultivars,Remove infected plants
Banana,Leaf Spot,Fungal disease,Brown spots on leaves,Remove infected leaves,Fungicide application
Grapes,Downy Mildew,Fungal infection,Yellow spots on leaves,Use resistant varieties,Fungicide application
Grapes,Powdery Mildew,Fungal disease,White powdery growth on leaves and fruits,Good ventilation,Apply sulfur spray
Grapes,Botrytis Bunch Rot,Fungal infection,Brown rotting of berries,Crop sanitation,Fungicide application
Grapes,Black Rot,Fungal disease,Black lesions on leaves and fruits,Prune infected parts,Fungicide application
Grapes,Anthracnose,Fungal infection,Dark sunken lesions on berries,Resistant varieties,Fungicide spray
Grapes,Phomopsis Cane and Leaf Spot,Fungal infection,Brown lesions on canes and leaves,Prune infected parts,Fungicide application
Grapes,Leafroll Virus,Viral disease,Downward curling of leaves,Resistant varieties,Remove infected plants
Grapes,Grape Fanleaf Virus,Viral disease,Leaf deformation,Use certified planting material,Remove infected plants
Grapes,Black Measles,Fungal infection,Dark lesions on berries,Sanitation,Fungicide spray
Soybean,Downy Mildew,Fungal infection,Yellowing and fuzzy growth on leaves,Resistant varieties,Fungicide application
Soybean,Rust,Fungal disease,Orange pustules on leaves,Use resistant varieties,Apply fungicide
Soybean,Leaf Spot,Fungal disease,Dark spots on leaves,Crop rotation,Fungicide treatment
Soybean,Bacterial Blight,Bacterial disease,Water-soaked lesions on leaves,Seed treatment,Apply copper-based bactericides
Soybean,Fusarium Wilt,Fungal infection,Yellowing and wilting of plants,Resistant varieties,Soil treatment with fungicide
Soybean,Nematode Infestation,Parasitic worms,Root galls and stunting,Crop rotation,Nematode treatment
Soybean,Stem Canker,Fungal infection,Lesions on stems,Resistant varieties,Fungicide spray
Soybean,Sclerotinia Stem Rot,Fungal infection,White fluffy growth on stems,Crop rotation,Fungicide spray
Soybean,Bacterial Pustule,Bacterial disease,Small raised pustules on leaves,Resistant varieties,Apply copper-based bactericides
